l=2, n=2, t=2, Greedy Time: 0.0010 seconds, B&B Time: 0.0000 seconds
l=2, n=2, t=3, Greedy Time: 0.0010 seconds, B&B Time: 0.0000 seconds
l=2, n=2, t=4, Greedy Time: 0.0010 seconds, B&B Time: 0.0000 seconds
l=2, n=2, t=5, Greedy Time: 0.0000 seconds, B&B Time: 0.0010 seconds
l=2, n=3, t=2, Greedy Time: 0.0000 seconds, B&B Time: 0.0010 seconds
l=2, n=3, t=3, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=3, t=4, Greedy Time: 0.0000 seconds, B&B Time: 0.0010 seconds
l=2, n=3, t=5, Greedy Time: 0.0000 seconds, B&B Time: 0.0010 seconds
l=2, n=4, t=2, Greedy Time: 0.0000 seconds, B&B Time: 0.0010 seconds
l=2, n=4, t=3, Greedy Time: 0.0010 seconds, B&B Time: 0.0000 seconds
l=2, n=4, t=4, Greedy Time: 0.0010 seconds, B&B Time: 0.0010 seconds
l=2, n=4, t=5, Greedy Time: 0.0030 seconds, B&B Time: 0.0000 seconds
l=2, n=5, t=2, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=5, t=3, Greedy Time: 0.0010 seconds, B&B Time: 0.0010 seconds
l=2, n=5, t=4, Greedy Time: 0.0020 seconds, B&B Time: 0.0010 seconds
l=2, n=5, t=5, Greedy Time: 0.0020 seconds, B&B Time: 0.0010 seconds
l=2, n=6, t=2, Greedy Time: 0.0010 seconds, B&B Time: 0.0010 seconds
l=2, n=6, t=3, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=6, t=4, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=6, t=5, Greedy Time: 0.0020 seconds, B&B Time: 0.0010 seconds
l=2, n=7, t=2, Greedy Time: 0.0010 seconds, B&B Time: 0.0000 seconds
l=2, n=7, t=3, Greedy Time: 0.0020 seconds, B&B Time: 0.0010 seconds
l=2, n=7, t=4, Greedy Time: 0.0020 seconds, B&B Time: 0.0010 seconds
l=2, n=7, t=5, Greedy Time: 0.0050 seconds, B&B Time: 0.0010 seconds
l=2, n=8, t=2, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=8, t=3, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=8, t=4, Greedy Time: 0.0030 seconds, B&B Time: 0.0000 seconds
l=2, n=8, t=5, Greedy Time: 0.0040 seconds, B&B Time: 0.0000 seconds
l=2, n=9, t=2, Greedy Time: 0.0020 seconds, B&B Time: 0.0010 seconds
l=2, n=9, t=3, Greedy Time: 0.0040 seconds, B&B Time: 0.0000 seconds
l=2, n=9, t=4, Greedy Time: 0.0060 seconds, B&B Time: 0.0010 seconds
l=2, n=9, t=5, Greedy Time: 0.0050 seconds, B&B Time: 0.0010 seconds
l=2, n=10, t=2, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=10, t=3, Greedy Time: 0.0020 seconds, B&B Time: 0.0010 seconds
l=2, n=10, t=4, Greedy Time: 0.0030 seconds, B&B Time: 0.0010 seconds
l=2, n=10, t=5, Greedy Time: 0.0050 seconds, B&B Time: 0.0010 seconds
l=2, n=11, t=2, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=11, t=3, Greedy Time: 0.0030 seconds, B&B Time: 0.0010 seconds
l=2, n=11, t=4, Greedy Time: 0.0050 seconds, B&B Time: 0.0010 seconds
l=2, n=11, t=5, Greedy Time: 0.0070 seconds, B&B Time: 0.0010 seconds
l=2, n=12, t=2, Greedy Time: 0.0040 seconds, B&B Time: 0.0000 seconds
l=2, n=12, t=3, Greedy Time: 0.0060 seconds, B&B Time: 0.0010 seconds
l=2, n=12, t=4, Greedy Time: 0.0050 seconds, B&B Time: 0.0010 seconds
l=2, n=12, t=5, Greedy Time: 0.0060 seconds, B&B Time: 0.0000 seconds
l=2, n=13, t=2, Greedy Time: 0.0020 seconds, B&B Time: 0.0000 seconds
l=2, n=13, t=3, Greedy Time: 0.0040 seconds, B&B Time: 0.0000 seconds
l=2, n=13, t=4, Greedy Time: 0.0060 seconds, B&B Time: 0.0010 seconds
l=2, n=13, t=5, Greedy Time: 0.0100 seconds, B&B Time: 0.0010 seconds
l=2, n=14, t=2, Greedy Time: 0.0040 seconds, B&B Time: 0.0010 seconds
l=2, n=14, t=3, Greedy Time: 0.0060 seconds, B&B Time: 0.0010 seconds
